cvg,mae,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/a,config/b,config/c,config/tau,config/E,config/T,config/dist_type,config/gene_process,config/mode,config/r,config/n_clients,config/n_sim,config/base_seed
1.0,0.10492846510136278,1746066027,,True,1,2025-05-01_02-20-27,1.7505764961242676,1.7505764961242676,2389450,qMxak3,172.17.0.3,1.7505764961242676,1,"54_E=1,T=1000,a=0.5100,c=4,tau=0.3000",0.51,0,4,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.07044005717832563,1746066033,,True,1,2025-05-01_02-20-33,2.8537259101867676,2.8537259101867676,2392870,qMxak3,172.17.0.3,2.8537259101867676,1,"56_E=log,T=1000,a=0.5100,c=4,tau=0.3000",0.51,0,4,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.0626054374504772,1746066036,,True,1,2025-05-01_02-20-36,2.5756871700286865,2.5756871700286865,2397364,qMxak3,172.17.0.3,2.5756871700286865,1,"58_E=5,T=1000,a=0.6000,c=4,tau=0.3000",0.6,0,4,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.07120515249910922,1746066037,,True,1,2025-05-01_02-20-37,3.629159450531006,3.629159450531006,2397435,qMxak3,172.17.0.3,3.629159450531006,1,"59_E=log,T=1000,a=0.6000,c=4,tau=0.3000",0.6,0,4,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
0.97,0.08256438350960212,1746066028,,True,1,2025-05-01_02-20-28,3.346266508102417,3.346266508102417,2389108,qMxak3,172.17.0.3,3.346266508102417,1,"52_E=5,T=1000,a=0.9900,c=3,tau=0.3000",0.99,0,3,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.2068544177880618,1746066036,,True,1,2025-05-01_02-20-36,2.145319700241089,2.145319700241089,2397630,qMxak3,172.17.0.3,2.145319700241089,1,"60_E=1,T=1000,a=0.7000,c=4,tau=0.3000",0.7,0,4,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.3946936617317347,1746066041,,True,1,2025-05-01_02-20-41,1.6638824939727783,1.6638824939727783,2406196,qMxak3,172.17.0.3,1.6638824939727783,1,"63_E=1,T=1000,a=0.8000,c=4,tau=0.3000",0.8,0,4,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.06253716150873125,1746066042,,True,1,2025-05-01_02-20-42,2.9900906085968018,2.9900906085968018,2406092,qMxak3,172.17.0.3,2.9900906085968018,1,"61_E=5,T=1000,a=0.7000,c=4,tau=0.3000",0.7,0,4,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.0957520216976381,1746066048,,True,1,2025-05-01_02-20-48,3.605694532394409,3.605694532394409,2410816,qMxak3,172.17.0.3,3.605694532394409,1,"65_E=log,T=1000,a=0.8000,c=4,tau=0.3000",0.8,0,4,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.07778981749392272,1746066043,,True,1,2025-05-01_02-20-43,3.6211721897125244,3.6211721897125244,2406130,qMxak3,172.17.0.3,3.6211721897125244,1,"62_E=log,T=1000,a=0.7000,c=4,tau=0.3000",0.7,0,4,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.06594920109645715,1746066047,,True,1,2025-05-01_02-20-47,2.705817222595215,2.705817222595215,2410817,qMxak3,172.17.0.3,2.705817222595215,1,"64_E=5,T=1000,a=0.8000,c=4,tau=0.3000",0.8,0,4,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
0.93,0.12467188829280898,1746066054,,True,1,2025-05-01_02-20-54,4.215230703353882,4.215230703353882,2414677,qMxak3,172.17.0.3,4.215230703353882,1,"68_E=log,T=1000,a=0.9000,c=4,tau=0.3000",0.9,0,4,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
0.0,0.9973328017237393,1746066052,,True,1,2025-05-01_02-20-52,1.615623950958252,1.615623950958252,2414799,qMxak3,172.17.0.3,1.615623950958252,1,"69_E=1,T=1000,a=0.9900,c=4,tau=0.3000",0.99,0,4,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
0.42,0.15597857246851382,1746066058,,True,1,2025-05-01_02-20-58,2.7656705379486084,2.7656705379486084,2416738,qMxak3,172.17.0.3,2.7656705379486084,1,"71_E=log,T=1000,a=0.9900,c=4,tau=0.3000",0.99,0,4,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
0.02,0.6966599517047356,1746066047,,True,1,2025-05-01_02-20-47,2.1617515087127686,2.1617515087127686,2410819,qMxak3,172.17.0.3,2.1617515087127686,1,"66_E=1,T=1000,a=0.9000,c=4,tau=0.3000",0.9,0,4,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
0.98,0.08609939937782503,1746066057,,True,1,2025-05-01_02-20-57,2.094736337661743,2.094736337661743,2416812,qMxak3,172.17.0.3,2.094736337661743,1,"70_E=5,T=1000,a=0.9900,c=4,tau=0.3000",0.99,0,4,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.07497564710156585,1746066053,,True,1,2025-05-01_02-20-53,3.3332231044769287,3.3332231044769287,2414676,qMxak3,172.17.0.3,3.3332231044769287,1,"67_E=5,T=1000,a=0.9000,c=4,tau=0.3000",0.9,0,4,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.11513278065279618,1746066058,,True,1,2025-05-01_02-20-58,0.4513719081878662,0.4513719081878662,2421808,qMxak3,172.17.0.3,0.4513719081878662,1,"72_E=1,T=1000,a=0.5100,c=5,tau=0.3000",0.51,0,5,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.19390816853284942,1746066066,,True,1,2025-05-01_02-21-06,1.914163589477539,1.914163589477539,2428203,qMxak3,172.17.0.3,1.914163589477539,1,"78_E=1,T=1000,a=0.7000,c=5,tau=0.3000",0.7,0,5,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.08463551160614582,1746066067,,True,1,2025-05-01_02-21-07,3.6892576217651367,3.6892576217651367,2428189,qMxak3,172.17.0.3,3.6892576217651367,1,"77_E=log,T=1000,a=0.6000,c=5,tau=0.3000",0.6,0,5,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.08488262086326698,1746066061,,True,1,2025-05-01_02-21-01,2.0096638202667236,2.0096638202667236,2422808,qMxak3,172.17.0.3,2.0096638202667236,1,"74_E=log,T=1000,a=0.5100,c=5,tau=0.3000",0.51,0,5,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.1328079712718736,1746066062,,True,1,2025-05-01_02-21-02,1.3277409076690674,1.3277409076690674,2426568,qMxak3,172.17.0.3,1.3277409076690674,1,"75_E=1,T=1000,a=0.6000,c=5,tau=0.3000",0.6,0,5,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.0744523586429677,1746066059,,True,1,2025-05-01_02-20-59,1.1757302284240723,1.1757302284240723,2421816,qMxak3,172.17.0.3,1.1757302284240723,1,"73_E=5,T=1000,a=0.5100,c=5,tau=0.3000",0.51,0,5,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.07330392895219431,1746066062,,True,1,2025-05-01_02-21-02,1.2364683151245117,1.2364683151245117,2426572,qMxak3,172.17.0.3,1.2364683151245117,1,"76_E=5,T=1000,a=0.6000,c=5,tau=0.3000",0.6,0,5,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.08794393688860526,1746066071,,True,1,2025-05-01_02-21-11,3.0252087116241455,3.0252087116241455,2433278,qMxak3,172.17.0.3,3.0252087116241455,1,"80_E=log,T=1000,a=0.7000,c=5,tau=0.3000",0.7,0,5,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.3709647884535898,1746066069,,True,1,2025-05-01_02-21-09,0.9680156707763672,0.9680156707763672,2433272,qMxak3,172.17.0.3,0.9680156707763672,1,"81_E=1,T=1000,a=0.8000,c=5,tau=0.3000",0.8,0,5,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
0.31,0.7023336924762178,1746066074,,True,1,2025-05-01_02-21-14,1.8934552669525146,1.8934552669525146,2434635,qMxak3,172.17.0.3,1.8934552669525146,1,"84_E=1,T=1000,a=0.9000,c=5,tau=0.3000",0.9,0,5,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.07435414434607081,1746066071,,True,1,2025-05-01_02-21-11,1.3909494876861572,1.3909494876861572,2434301,qMxak3,172.17.0.3,1.3909494876861572,1,"82_E=5,T=1000,a=0.8000,c=5,tau=0.3000",0.8,0,5,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.1012852311448211,1746066075,,True,1,2025-05-01_02-21-15,3.217564821243286,3.217564821243286,2434629,qMxak3,172.17.0.3,3.217564821243286,1,"83_E=log,T=1000,a=0.8000,c=5,tau=0.3000",0.8,0,5,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.07245770013965268,1746066067,,True,1,2025-05-01_02-21-07,2.9299166202545166,2.9299166202545166,2428204,qMxak3,172.17.0.3,2.9299166202545166,1,"79_E=5,T=1000,a=0.7000,c=5,tau=0.3000",0.7,0,5,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.09147164038584098,1746066080,,True,1,2025-05-01_02-21-20,2.5066945552825928,2.5066945552825928,2443630,qMxak3,172.17.0.3,2.5066945552825928,1,"88_E=5,T=1000,a=0.9900,c=5,tau=0.3000",0.99,0,5,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.09868986904284315,1746066081,,True,1,2025-05-01_02-21-21,0.4841597080230713,0.4841597080230713,2444013,qMxak3,172.17.0.3,0.4841597080230713,1,"90_E=1,T=1000,a=0.5100,c=1,tau=0.5000",0.51,0,1,0.5,1,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.03410432691305201,1746066086,,True,1,2025-05-01_02-21-26,2.777681589126587,2.777681589126587,2449894,qMxak3,172.17.0.3,2.777681589126587,1,"91_E=5,T=1000,a=0.5100,c=1,tau=0.5000",0.51,0,1,0.5,5,1000,normal,hete,federated,0.25,10,100,2025
0.0,1.0765504923775424,1746066076,,True,1,2025-05-01_02-21-16,0.5104031562805176,0.5104031562805176,2439302,qMxak3,172.17.0.3,0.5104031562805176,1,"87_E=1,T=1000,a=0.9900,c=5,tau=0.3000",0.99,0,5,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
